lambda nm,brightness,low,high
370,1,1,0
380,1,1,0
390,1,1,0
400,1,1,0
410,1,1,0
420,1,1,0
430,1,1,0
440,1,1,0
450,1,1,0
460,1,1,0
470,1,1,0
480,1,1,0
490,1,1,0
500,1,1,0
510,1,1,0
520,1,1,0
530,1,1,0
540,1,1,0
550,1,1,0
560,1,1,0
570,1,1,0
580,1,1,0
590,1,1,0
600,1,1,0
610,1,1,0
620,1,1,0
630,1,1,0
640,1,1,0
650,1,1,0
660,1,1,0
670,1,1,0
680,1,1,0
690,1,1,0
700,1,1,0
710,1,0,1
720,1,0,1
730,1,0,1
740,1,0,1
750,1,0,1
760,1,0,1
770,1,0,1
780,1,0,1
790,1,0,1
800,1,0,1
810,1,0,1
820,1,0,1
830,1,0,1
840,1,0,1
850,1,0,1
860,1,0,1
870,1,0,1
880,1,0,1
890,1,0,1
900,1,0,1
910,1,0,1
920,1,0,1
930,1,0,1
940,1,0,1
950,1,0,1
960,1,0,1
970,1,0,1
980,1,0,1
990,1,0,1
1000,1,0,1