lambda nm,S
502.5,1.06E-01
502.6,1.05E-01
502.7,1.04E-01
502.8,1.03E-01
502.9,1.03E-01
503,1.02E-01
503.1,1.01E-01
503.2,1.01E-01
503.3,1.00E-01
503.4,9.94E-02
503.5,9.88E-02
503.6,9.81E-02
503.7,9.74E-02
503.8,9.68E-02
503.9,9.61E-02
504,9.54E-02
504.1,9.48E-02
504.2,9.41E-02
504.3,9.35E-02
504.4,9.28E-02
504.5,9.21E-02
504.6,9.15E-02
504.7,9.08E-02
504.8,9.02E-02
504.9,8.95E-02
505,8.89E-02
505.1,8.83E-02
505.2,8.76E-02
505.3,8.70E-02
505.4,8.63E-02
505.5,8.57E-02
505.6,8.51E-02
505.7,8.44E-02
505.8,8.38E-02
505.9,8.32E-02
506,8.25E-02
506.1,8.19E-02
506.2,8.13E-02
506.3,8.07E-02
506.4,8.01E-02
506.5,7.95E-02
506.6,7.88E-02
506.7,7.82E-02
506.8,7.76E-02
506.9,7.71E-02
507,7.65E-02
507.1,7.59E-02
507.2,7.53E-02
507.3,7.47E-02
507.4,7.41E-02
507.5,7.36E-02
507.6,7.30E-02
507.7,7.24E-02
507.8,7.19E-02
507.9,7.13E-02
508,7.08E-02
508.1,7.02E-02
508.2,6.97E-02
508.3,6.92E-02
508.4,6.86E-02
508.5,6.81E-02
508.6,6.76E-02
508.7,6.71E-02
508.8,6.66E-02
508.9,6.60E-02
509,6.55E-02
509.1,6.51E-02
509.2,6.46E-02
509.3,6.41E-02
509.4,6.36E-02
509.5,6.31E-02
509.6,6.27E-02
509.7,6.22E-02
509.8,6.17E-02
509.9,6.13E-02
510,6.08E-02
510.1,6.04E-02
510.2,5.99E-02
510.3,5.95E-02
510.4,5.91E-02
510.5,5.86E-02
510.6,5.82E-02
510.7,5.78E-02
510.8,5.74E-02
510.9,5.70E-02
511,5.66E-02
511.1,5.62E-02
511.2,5.58E-02
511.3,5.54E-02
511.4,5.50E-02
511.5,5.46E-02
511.6,5.43E-02
511.7,5.39E-02
511.8,5.35E-02
511.9,5.31E-02
512,5.28E-02
512.1,5.24E-02
512.2,5.20E-02
512.3,5.17E-02
512.4,5.13E-02
512.5,5.10E-02
512.6,5.06E-02
512.7,5.03E-02
512.8,4.99E-02
512.9,4.96E-02
513,4.92E-02
513.1,4.89E-02
513.2,4.86E-02
513.3,4.82E-02
513.4,4.79E-02
513.5,4.76E-02
513.6,4.72E-02
513.7,4.69E-02
513.8,4.66E-02
513.9,4.63E-02
514,4.59E-02
514.1,4.56E-02
514.2,4.53E-02
514.3,4.50E-02
514.4,4.47E-02
514.5,4.44E-02
514.6,4.41E-02
514.7,4.37E-02
514.8,4.34E-02
514.9,4.31E-02
515,4.28E-02
515.1,4.25E-02
515.2,4.22E-02
515.3,4.19E-02
515.4,4.16E-02
515.5,4.13E-02
515.6,4.10E-02
515.7,4.07E-02
515.8,4.04E-02
515.9,4.01E-02
516,3.98E-02
516.1,3.95E-02
516.2,3.92E-02
516.3,3.89E-02
516.4,3.86E-02
516.5,3.83E-02
516.6,3.81E-02
516.7,3.78E-02
516.8,3.75E-02
516.9,3.72E-02
517,3.69E-02
517.1,3.66E-02
517.2,3.64E-02
517.3,3.61E-02
517.4,3.58E-02
517.5,3.55E-02
517.6,3.53E-02
517.7,3.50E-02
517.8,3.47E-02
517.9,3.45E-02
518,3.42E-02
518.1,3.39E-02
518.2,3.37E-02
518.3,3.34E-02
518.4,3.31E-02
518.5,3.29E-02
518.6,3.26E-02
518.7,3.24E-02
518.8,3.21E-02
518.9,3.19E-02
519,3.16E-02
519.1,3.14E-02
519.2,3.11E-02
519.3,3.09E-02
519.4,3.06E-02
519.5,3.04E-02
519.6,3.01E-02
519.7,2.99E-02
519.8,2.97E-02
519.9,2.94E-02
520,2.92E-02
520.1,2.90E-02
520.2,2.87E-02
520.3,2.85E-02
520.4,2.83E-02
520.5,2.81E-02
520.6,2.78E-02
520.7,2.76E-02
520.8,2.74E-02
520.9,2.72E-02
521,2.70E-02
521.1,2.67E-02
521.2,2.65E-02
521.3,2.63E-02
521.4,2.61E-02
521.5,2.59E-02
521.6,2.57E-02
521.7,2.55E-02
521.8,2.53E-02
521.9,2.51E-02
522,2.49E-02
522.1,2.47E-02
522.2,2.45E-02
522.3,2.43E-02
522.4,2.41E-02
522.5,2.39E-02
522.6,2.37E-02
522.7,2.35E-02
522.8,2.33E-02
522.9,2.31E-02
523,2.29E-02
523.1,2.27E-02
523.2,2.25E-02
523.3,2.23E-02
523.4,2.22E-02
523.5,2.20E-02
523.6,2.18E-02
523.7,2.16E-02
523.8,2.14E-02
523.9,2.13E-02
524,2.11E-02
524.1,2.09E-02
524.2,2.07E-02
524.3,2.06E-02
524.4,2.04E-02
524.5,2.02E-02
524.6,2.01E-02
524.7,1.99E-02
524.8,1.97E-02
524.9,1.96E-02
525,1.94E-02
525.1,1.92E-02
525.2,1.91E-02
525.3,1.89E-02
525.4,1.87E-02
525.5,1.86E-02
525.6,1.84E-02
525.7,1.83E-02
525.8,1.81E-02
525.9,1.80E-02
526,1.78E-02
526.1,1.77E-02
526.2,1.75E-02
526.3,1.74E-02
526.4,1.72E-02
526.5,1.71E-02
526.6,1.69E-02
526.7,1.68E-02
526.8,1.66E-02
526.9,1.65E-02
527,1.64E-02
527.1,1.62E-02
527.2,1.61E-02
527.3,1.59E-02
527.4,1.58E-02
527.5,1.57E-02
527.6,1.55E-02
527.7,1.54E-02
527.8,1.53E-02
527.9,1.51E-02
528,1.50E-02
528.1,1.49E-02
528.2,1.47E-02
528.3,1.46E-02
528.4,1.45E-02
528.5,1.44E-02
528.6,1.42E-02
528.7,1.41E-02
528.8,1.40E-02
528.9,1.39E-02
529,1.37E-02
529.1,1.36E-02
529.2,1.35E-02
529.3,1.34E-02
529.4,1.33E-02
529.5,1.32E-02
529.6,1.30E-02
529.7,1.29E-02
529.8,1.28E-02
529.9,1.27E-02
530,1.26E-02
530.1,1.25E-02
530.2,1.24E-02
530.3,1.23E-02
530.4,1.22E-02
530.5,1.21E-02
530.6,1.20E-02
530.7,1.19E-02
530.8,1.18E-02
530.9,1.16E-02
531,1.15E-02
531.1,1.14E-02
531.2,1.13E-02
531.3,1.12E-02
531.4,1.11E-02
531.5,1.11E-02
531.6,1.10E-02
531.7,1.09E-02
531.8,1.08E-02
531.9,1.07E-02
532,1.06E-02
532.1,1.05E-02
532.2,1.04E-02
532.3,1.03E-02
532.4,1.02E-02
532.5,1.01E-02
532.6,1.00E-02
532.7,9.94E-03
532.8,9.86E-03
532.9,9.77E-03
533,9.68E-03
533.1,9.60E-03
533.2,9.51E-03
533.3,9.43E-03
533.4,9.34E-03
533.5,9.26E-03
533.6,9.18E-03
533.7,9.10E-03
533.8,9.02E-03
533.9,8.94E-03
534,8.86E-03
534.1,8.78E-03
534.2,8.70E-03
534.3,8.62E-03
534.4,8.55E-03
534.5,8.47E-03
534.6,8.39E-03
534.7,8.32E-03
534.8,8.24E-03
534.9,8.17E-03
535,8.09E-03
535.1,8.02E-03
535.2,7.95E-03
535.3,7.88E-03
535.4,7.81E-03
535.5,7.73E-03
535.6,7.66E-03
535.7,7.59E-03
535.8,7.53E-03
535.9,7.46E-03
536,7.39E-03
536.1,7.32E-03
536.2,7.25E-03
536.3,7.19E-03
536.4,7.12E-03
536.5,7.06E-03
536.6,6.99E-03
536.7,6.93E-03
536.8,6.86E-03
536.9,6.80E-03
537,6.74E-03
537.1,6.68E-03
537.2,6.61E-03
537.3,6.55E-03
537.4,6.49E-03
537.5,6.43E-03
537.6,6.37E-03
537.7,6.31E-03
537.8,6.26E-03
537.9,6.20E-03
538,6.14E-03
538.1,6.08E-03
538.2,6.03E-03
538.3,5.97E-03
538.4,5.91E-03
538.5,5.86E-03
538.6,5.80E-03
538.7,5.75E-03
538.8,5.70E-03
538.9,5.64E-03
539,5.59E-03
539.1,5.54E-03
539.2,5.49E-03
539.3,5.44E-03
539.4,5.38E-03
539.5,5.33E-03
539.6,5.28E-03
539.7,5.23E-03
539.8,5.19E-03
539.9,5.14E-03
540,5.09E-03
540.1,5.04E-03
540.2,4.99E-03
540.3,4.95E-03
540.4,4.90E-03
540.5,4.85E-03
540.6,4.81E-03
540.7,4.76E-03
540.8,4.72E-03
540.9,4.68E-03
541,4.63E-03
541.1,4.59E-03
541.2,4.54E-03
541.3,4.50E-03
541.4,4.46E-03
541.5,4.42E-03
541.6,4.38E-03
541.7,4.33E-03
541.8,4.29E-03
541.9,4.25E-03
542,4.21E-03
542.1,4.17E-03
542.2,4.13E-03
542.3,4.10E-03
542.4,4.06E-03
542.5,4.02E-03
542.6,3.98E-03
542.7,3.94E-03
542.8,3.91E-03
542.9,3.87E-03
543,3.83E-03
543.1,3.80E-03
543.2,3.76E-03
543.3,3.73E-03
543.4,3.69E-03
543.5,3.66E-03
543.6,3.62E-03
543.7,3.59E-03
543.8,3.55E-03
543.9,3.52E-03
544,3.49E-03
544.1,3.45E-03
544.2,3.42E-03
544.3,3.39E-03
544.4,3.36E-03
544.5,3.32E-03
544.6,3.29E-03
544.7,3.26E-03
544.8,3.23E-03
544.9,3.20E-03
545,3.17E-03
545.1,3.14E-03
545.2,3.11E-03
545.3,3.08E-03
545.4,3.05E-03
545.5,3.02E-03
545.6,2.99E-03
545.7,2.96E-03
545.8,2.94E-03
545.9,2.91E-03
546,2.88E-03
546.1,2.85E-03
546.2,2.83E-03
546.3,2.80E-03
546.4,2.77E-03
546.5,2.75E-03
546.6,2.72E-03
546.7,2.69E-03
546.8,2.67E-03
546.9,2.64E-03
547,2.62E-03
547.1,2.59E-03
547.2,2.57E-03
547.3,2.54E-03
547.4,2.52E-03
547.5,2.49E-03
547.6,2.47E-03
547.7,2.45E-03
547.8,2.42E-03
547.9,2.40E-03
548,2.38E-03
548.1,2.35E-03
548.2,2.33E-03
548.3,2.31E-03
548.4,2.29E-03
548.5,2.27E-03
548.6,2.24E-03
548.7,2.22E-03
548.8,2.20E-03
548.9,2.18E-03
549,2.16E-03
549.1,2.14E-03
549.2,2.12E-03
549.3,2.10E-03
549.4,2.08E-03
549.5,2.06E-03
549.6,2.04E-03
549.7,2.02E-03
549.8,2.00E-03
549.9,1.98E-03
550,1.96E-03
550.1,1.94E-03
550.2,1.92E-03
550.3,1.90E-03
550.4,1.88E-03
550.5,1.87E-03
550.6,1.85E-03
550.7,1.83E-03
550.8,1.81E-03
550.9,1.79E-03
551,1.78E-03
551.1,1.76E-03
551.2,1.74E-03
551.3,1.73E-03
551.4,1.71E-03
551.5,1.69E-03
551.6,1.68E-03
551.7,1.66E-03
551.8,1.64E-03
551.9,1.63E-03
552,1.61E-03
552.1,1.60E-03
552.2,1.58E-03
552.3,1.57E-03
552.4,1.55E-03
552.5,1.54E-03
552.6,1.52E-03
552.7,1.51E-03
552.8,1.49E-03
552.9,1.48E-03
553,1.46E-03
553.1,1.45E-03
553.2,1.43E-03
553.3,1.42E-03
553.4,1.41E-03
553.5,1.39E-03
553.6,1.38E-03
553.7,1.37E-03
553.8,1.35E-03
553.9,1.34E-03
554,1.33E-03
554.1,1.31E-03
554.2,1.30E-03
554.3,1.29E-03
554.4,1.28E-03
554.5,1.26E-03
554.6,1.25E-03
554.7,1.24E-03
554.8,1.23E-03
554.9,1.21E-03
555,1.20E-03
555.1,1.19E-03
555.2,1.18E-03
555.3,1.17E-03
555.4,1.16E-03
555.5,1.15E-03
555.6,1.13E-03
555.7,1.12E-03
555.8,1.11E-03
555.9,1.10E-03
556,1.09E-03
556.1,1.08E-03
556.2,1.07E-03
556.3,1.06E-03
556.4,1.05E-03
556.5,1.04E-03
556.6,1.03E-03
556.7,1.02E-03
556.8,1.01E-03
556.9,1.00E-03
557,9.90E-04
557.1,9.81E-04
557.2,9.71E-04
557.3,9.62E-04
557.4,9.52E-04
557.5,9.43E-04
557.6,9.34E-04
557.7,9.25E-04
557.8,9.16E-04
557.9,9.07E-04
558,8.99E-04
558.1,8.90E-04
558.2,8.81E-04
558.3,8.73E-04
558.4,8.64E-04
558.5,8.56E-04
558.6,8.48E-04
558.7,8.40E-04
558.8,8.31E-04
558.9,8.23E-04
559,8.16E-04
559.1,8.08E-04
559.2,8.00E-04
559.3,7.92E-04
559.4,7.85E-04
559.5,7.77E-04
559.6,7.69E-04
559.7,7.62E-04
559.8,7.55E-04
559.9,7.47E-04
560,7.40E-04
560.1,7.33E-04
560.2,7.26E-04
560.3,7.19E-04
560.4,7.12E-04
560.5,7.05E-04
560.6,6.98E-04
560.7,6.92E-04
560.8,6.85E-04
560.9,6.78E-04
561,6.72E-04
561.1,6.65E-04
561.2,6.59E-04
561.3,6.53E-04
561.4,6.46E-04
561.5,6.40E-04
561.6,6.34E-04
561.7,6.28E-04
561.8,6.22E-04
561.9,6.16E-04
562,6.10E-04
562.1,6.04E-04
562.2,5.98E-04
562.3,5.92E-04
562.4,5.87E-04
562.5,5.81E-04
562.6,5.75E-04
562.7,5.70E-04
562.8,5.64E-04
562.9,5.59E-04
563,5.53E-04
563.1,5.48E-04
563.2,5.43E-04
563.3,5.38E-04
563.4,5.32E-04
563.5,5.27E-04
563.6,5.22E-04
563.7,5.17E-04
563.8,5.12E-04
563.9,5.07E-04
564,5.02E-04
564.1,4.97E-04
564.2,4.93E-04
564.3,4.88E-04
564.4,4.83E-04
564.5,4.79E-04
564.6,4.74E-04
564.7,4.69E-04
564.8,4.65E-04
564.9,4.60E-04
565,4.56E-04
565.1,4.52E-04
565.2,4.47E-04
565.3,4.43E-04
565.4,4.39E-04
565.5,4.34E-04
565.6,4.30E-04
565.7,4.26E-04
565.8,4.22E-04
565.9,4.18E-04
566,4.14E-04
566.1,4.10E-04
566.2,4.06E-04
566.3,4.02E-04
566.4,3.98E-04
566.5,3.95E-04
566.6,3.91E-04
566.7,3.87E-04
566.8,3.83E-04
566.9,3.80E-04
567,3.76E-04
567.1,3.72E-04
567.2,3.69E-04
567.3,3.65E-04
567.4,3.62E-04
567.5,3.58E-04
567.6,3.55E-04
567.7,3.51E-04
567.8,3.48E-04
567.9,3.45E-04
568,3.41E-04
568.1,3.38E-04
568.2,3.35E-04
568.3,3.32E-04
568.4,3.29E-04
568.5,3.25E-04
568.6,3.22E-04
568.7,3.19E-04
568.8,3.16E-04
568.9,3.13E-04
569,3.10E-04
569.1,3.07E-04
569.2,3.04E-04
569.3,3.01E-04
569.4,2.98E-04
569.5,2.96E-04
569.6,2.93E-04
569.7,2.90E-04
569.8,2.87E-04
569.9,2.85E-04
570,2.82E-04
570.1,2.79E-04
570.2,2.76E-04
570.3,2.74E-04
570.4,2.71E-04
570.5,2.69E-04
570.6,2.66E-04
570.7,2.64E-04
570.8,2.61E-04
570.9,2.59E-04
571,2.56E-04
571.1,2.54E-04
571.2,2.51E-04
571.3,2.49E-04
571.4,2.46E-04
571.5,2.44E-04
571.6,2.42E-04
571.7,2.40E-04
571.8,2.37E-04
571.9,2.35E-04
572,2.33E-04
572.1,2.31E-04
572.2,2.28E-04
572.3,2.26E-04
572.4,2.24E-04
572.5,2.22E-04
572.6,2.20E-04
572.7,2.18E-04
572.8,2.16E-04
572.9,2.14E-04
573,2.12E-04
573.1,2.10E-04
573.2,2.08E-04
573.3,2.06E-04
573.4,2.04E-04
573.5,2.02E-04
573.6,2.00E-04
573.7,1.98E-04
573.8,1.96E-04
573.9,1.94E-04
574,1.92E-04
574.1,1.91E-04
574.2,1.89E-04
574.3,1.87E-04
574.4,1.85E-04
574.5,1.84E-04
574.6,1.82E-04
574.7,1.80E-04
574.8,1.78E-04
574.9,1.77E-04
575,1.75E-04
575.1,1.73E-04
575.2,1.72E-04
575.3,1.70E-04
575.4,1.69E-04
575.5,1.67E-04
575.6,1.65E-04
575.7,1.64E-04
575.8,1.62E-04
575.9,1.61E-04
576,1.59E-04
576.1,1.58E-04
576.2,1.56E-04
576.3,1.55E-04
576.4,1.53E-04
576.5,1.52E-04
576.6,1.51E-04
576.7,1.49E-04
576.8,1.48E-04
576.9,1.46E-04
577,1.45E-04
577.1,1.44E-04
577.2,1.42E-04
577.3,1.41E-04
577.4,1.40E-04
577.5,1.38E-04
577.6,1.37E-04
577.7,1.36E-04
577.8,1.34E-04
577.9,1.33E-04
578,1.32E-04
578.1,1.31E-04
578.2,1.29E-04
578.3,1.28E-04
578.4,1.27E-04
578.5,1.26E-04
578.6,1.25E-04
578.7,1.24E-04
578.8,1.22E-04
578.9,1.21E-04
579,1.20E-04
579.1,1.19E-04
579.2,1.18E-04
579.3,1.17E-04
579.4,1.16E-04
579.5,1.15E-04
579.6,1.14E-04
579.7,1.13E-04
579.8,1.12E-04
579.9,1.10E-04
580,1.09E-04
580.1,1.08E-04
580.2,1.07E-04
580.3,1.06E-04
580.4,1.05E-04
580.5,1.04E-04
580.6,1.04E-04
580.7,1.03E-04
580.8,1.02E-04
580.9,1.01E-04
581,9.97E-05
581.1,9.88E-05
581.2,9.79E-05
581.3,9.70E-05
581.4,9.61E-05
581.5,9.52E-05
581.6,9.43E-05
581.7,9.35E-05
581.8,9.26E-05
581.9,9.18E-05
582,9.09E-05
582.1,9.01E-05
582.2,8.92E-05
582.3,8.84E-05
582.4,8.76E-05
582.5,8.68E-05
582.6,8.60E-05
582.7,8.52E-05
582.8,8.44E-05
582.9,8.37E-05
583,8.29E-05
583.1,8.21E-05
583.2,8.14E-05
583.3,8.06E-05
583.4,7.99E-05
583.5,7.92E-05
583.6,7.84E-05
583.7,7.77E-05
583.8,7.70E-05
583.9,7.63E-05
584,7.56E-05
584.1,7.49E-05
584.2,7.42E-05
584.3,7.36E-05
584.4,7.29E-05
584.5,7.22E-05
584.6,7.16E-05
584.7,7.09E-05
584.8,7.03E-05
584.9,6.96E-05
585,6.90E-05
585.1,6.84E-05
585.2,6.77E-05
585.3,6.71E-05
585.4,6.65E-05
585.5,6.59E-05
585.6,6.53E-05
585.7,6.47E-05
585.8,6.41E-05
585.9,6.36E-05
586,6.30E-05
586.1,6.24E-05
586.2,6.18E-05
586.3,6.13E-05
586.4,6.07E-05
586.5,6.02E-05
586.6,5.96E-05
586.7,5.91E-05
586.8,5.86E-05
586.9,5.80E-05
587,5.75E-05
587.1,5.70E-05
587.2,5.65E-05
587.3,5.60E-05
587.4,5.55E-05
587.5,5.50E-05
587.6,5.45E-05
587.7,5.40E-05
587.8,5.35E-05
587.9,5.30E-05
588,5.25E-05
588.1,5.21E-05
588.2,5.16E-05
588.3,5.11E-05
588.4,5.07E-05
588.5,5.02E-05
588.6,4.98E-05
588.7,4.93E-05
588.8,4.89E-05
588.9,4.85E-05
589,4.80E-05
589.1,4.76E-05
589.2,4.72E-05
589.3,4.67E-05
589.4,4.63E-05
589.5,4.59E-05
589.6,4.55E-05
589.7,4.51E-05
589.8,4.47E-05
589.9,4.43E-05
590,4.39E-05
590.1,4.35E-05
590.2,4.31E-05
590.3,4.27E-05
590.4,4.24E-05
590.5,4.20E-05
590.6,4.16E-05
590.7,4.12E-05
590.8,4.09E-05
590.9,4.05E-05
591,4.02E-05
591.1,3.98E-05
591.2,3.94E-05
591.3,3.91E-05
591.4,3.88E-05
591.5,3.84E-05
591.6,3.81E-05
591.7,3.77E-05
591.8,3.74E-05
591.9,3.71E-05
592,3.67E-05
592.1,3.64E-05
592.2,3.61E-05
592.3,3.58E-05
592.4,3.55E-05
592.5,3.52E-05
592.6,3.48E-05
592.7,3.45E-05
592.8,3.42E-05
592.9,3.39E-05
593,3.36E-05
593.1,3.33E-05
593.2,3.30E-05
593.3,3.28E-05
593.4,3.25E-05
593.5,3.22E-05
593.6,3.19E-05
593.7,3.16E-05
593.8,3.13E-05
593.9,3.11E-05
594,3.08E-05
594.1,3.05E-05
594.2,3.03E-05
594.3,3.00E-05
594.4,2.97E-05
594.5,2.95E-05
594.6,2.92E-05
594.7,2.90E-05
594.8,2.87E-05
594.9,2.85E-05
595,2.82E-05
595.1,2.80E-05
595.2,2.77E-05
595.3,2.75E-05
595.4,2.73E-05
595.5,2.70E-05
595.6,2.68E-05
595.7,2.66E-05
595.8,2.63E-05
595.9,2.61E-05
596,2.59E-05
596.1,2.56E-05
596.2,2.54E-05
596.3,2.52E-05
596.4,2.50E-05
596.5,2.48E-05
596.6,2.46E-05
596.7,2.43E-05
596.8,2.41E-05
596.9,2.39E-05
597,2.37E-05
597.1,2.35E-05
597.2,2.33E-05
597.3,2.31E-05
597.4,2.29E-05
597.5,2.27E-05
597.6,2.25E-05
597.7,2.23E-05
597.8,2.21E-05
597.9,2.20E-05
598,2.18E-05
598.1,2.16E-05
598.2,2.14E-05
598.3,2.12E-05
598.4,2.10E-05
598.5,2.09E-05
598.6,2.07E-05
598.7,2.05E-05
598.8,2.03E-05
598.9,2.01E-05
599,2.00E-05
599.1,1.98E-05
599.2,1.96E-05
599.3,1.95E-05
599.4,1.93E-05
599.5,1.91E-05
599.6,1.90E-05
599.7,1.88E-05
599.8,1.87E-05
599.9,1.85E-05
600,1.83E-05
600.1,1.82E-05
600.2,1.80E-05
600.3,1.79E-05
600.4,1.77E-05
600.5,1.76E-05
600.6,1.74E-05
600.7,1.73E-05
600.8,1.71E-05
600.9,1.70E-05
601,1.69E-05
601.1,1.67E-05
601.2,1.66E-05
601.3,1.64E-05
601.4,1.63E-05
601.5,1.62E-05
601.6,1.60E-05
601.7,1.59E-05
601.8,1.58E-05
601.9,1.56E-05
602,1.55E-05
602.1,1.54E-05
602.2,1.52E-05
602.3,1.51E-05
602.4,1.50E-05
602.5,1.49E-05
602.6,1.47E-05
602.7,1.46E-05
602.8,1.45E-05
602.9,1.44E-05
603,1.42E-05
603.1,1.41E-05
603.2,1.40E-05
603.3,1.39E-05
603.4,1.38E-05
603.5,1.37E-05
603.6,1.36E-05
603.7,1.34E-05
603.8,1.33E-05
603.9,1.32E-05
604,1.31E-05
604.1,1.30E-05
604.2,1.29E-05
604.3,1.28E-05
604.4,1.27E-05
604.5,1.26E-05
604.6,1.25E-05
604.7,1.24E-05
604.8,1.23E-05
604.9,1.22E-05
605,1.21E-05
605.1,1.20E-05
605.2,1.19E-05
605.3,1.18E-05
605.4,1.17E-05
605.5,1.16E-05
605.6,1.15E-05
605.7,1.14E-05
605.8,1.13E-05
605.9,1.12E-05
606,1.11E-05
606.1,1.10E-05
606.2,1.09E-05
606.3,1.08E-05
606.4,1.08E-05
606.5,1.07E-05
606.6,1.06E-05
606.7,1.05E-05
606.8,1.04E-05
606.9,1.03E-05
607,1.02E-05
607.1,1.02E-05
607.2,1.01E-05
607.3,9.99E-06
607.4,9.91E-06
607.5,9.83E-06
607.6,9.75E-06
607.7,9.67E-06
607.8,9.59E-06
607.9,9.52E-06
608,9.44E-06
608.1,9.36E-06
608.2,9.29E-06
608.3,9.21E-06
608.4,9.14E-06
608.5,9.07E-06
608.6,8.99E-06
608.7,8.92E-06
608.8,8.85E-06
608.9,8.78E-06
609,8.71E-06
609.1,8.64E-06
609.2,8.57E-06
609.3,8.50E-06
609.4,8.43E-06
609.5,8.36E-06
609.6,8.30E-06
609.7,8.23E-06
609.8,8.16E-06
609.9,8.10E-06
610,8.03E-06
610.1,7.97E-06
610.2,7.91E-06
610.3,7.84E-06
610.4,7.78E-06
610.5,7.72E-06
610.6,7.66E-06
610.7,7.60E-06
610.8,7.54E-06
610.9,7.48E-06
611,7.42E-06
611.1,7.36E-06
611.2,7.30E-06
611.3,7.24E-06
611.4,7.19E-06
611.5,7.13E-06
611.6,7.07E-06
611.7,7.02E-06
611.8,6.96E-06
611.9,6.91E-06
612,6.85E-06
612.1,6.80E-06
612.2,6.75E-06
612.3,6.69E-06
612.4,6.64E-06
612.5,6.59E-06
612.6,6.54E-06
612.7,6.48E-06
612.8,6.43E-06
612.9,6.38E-06
613,6.33E-06
613.1,6.28E-06
613.2,6.23E-06
613.3,6.19E-06
613.4,6.14E-06
613.5,6.09E-06
613.6,6.04E-06
613.7,6.00E-06
613.8,5.95E-06
613.9,5.90E-06
614,5.86E-06
614.1,5.81E-06
614.2,5.77E-06
614.3,5.72E-06
614.4,5.68E-06
614.5,5.63E-06
614.6,5.59E-06
614.7,5.55E-06
614.8,5.50E-06
614.9,5.46E-06
615,5.42E-06